card,effect
Sinister Shadow Games,"Send 1 ""Shaddoll"" card from your Deck to the Graveyard, then you can change any number of face-down Defense Position ""Shaddoll"" monsters you control to face-up Defense Position."
Sinister Sprocket,"If this card is sent to the Graveyard for the Synchro Summon of a DARK Synchro Monster, you can destroy 1 face-up Spell or Trap Card."
Sinister Yorishiro,"Each turn, 1 Level 5 or higher Fiend monster you Normal Summon can be Summoned without Tributing. If exactly 1 Normal Summoned/Set Level 5 or higher Fiend monster (and no other cards) would be destroyed, you can send this card to the GY instead."
Siphon Token,"Special Summoned with the effect of ""Star Siphon""."
Sirenorca,"If you control both Fish and Winged Beast-Type monsters, you can Special Summon this card (from your hand). When you do: You can declare a Level from 3 to 5; the Levels of all monsters you currently control become the declared Level. If you activate this effect, monsters you control cannot activate their effects for the rest of this turn, except WATER monsters."
Sishunder,"When this card is Normal Summoned: You can target 1 Level 4 LIGHT Thunder-Type monster with 1600 or less ATK in your Graveyard, except ""Sishunder""; banish that target. During the End Phase of this turn, add that card to your hand."
Six Samurai United,"Each time a ""Six Samurai"" monster(s) is Normal or Special Summoned, place 1 Bushido Counter on this card (max. 2). You can send this card to the Graveyard; draw 1 card for each Bushido Counter on this card."
Six Scrolls of the Samurai,"Tribute 2 face-up ""Six Samurai"" monsters. Special Summon 1 ""Great Shogun Shien"" from your Deck."
Six Strike - Thunder Blast,"Remove 1 Bushido Counter from your side of the field to activate 1 of these effects.
● Target 1 monster your opponent controls; destroy that target.
● Target 1 card your opponent controls; return that target to the hand."
Six Strike - Triple Impact,"If you control 3 or more face-up ""Six Samurai"" monsters, you can activate 1 of these effects:
● Destroy all face-up monsters your opponent controls.
● Destroy all face-up Spell/Trap Cards your opponent controls.
● Destroy all Set Spell/Trap Cards your opponent controls."
Six Style - Dual Wield,"If the only monster you control is 1 ""Six Samurai"" monster in face-up Attack Position: Target 2 cards your opponent controls; return those targets to the hand."
Sixth Sense,"Declare 2 numbers from 1 to 6, then your opponent rolls a six-sided die, and if the result is one of the numbers you declared, you draw that many cards. Otherwise, send a number of cards from the top of your Deck to the Graveyard equal to the result."
Skelengel,FLIP: Draw 1 card.
Skelesaurus,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with these effects.
●This card becomes EARTH Dinosaur-Type. When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can Special Summon that monster to your field in Defense Position, and if you do, it becomes Zombie-Type."
Skelgon,"""The Snake Hair"" + ""Blackland Fire Dragon"""
Skill Drain,Activate by paying 1000 Life Points. The effects of all face-up monsters on the field are negated while those monsters are face-up on the field (but their effects can still be activated).
Skill Prisoner,"Target 1 card you control; this turn, when any monster effect resolves that targeted that card at activation, negate that effect. During either player's turn, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard, then target 1 card you control; this turn, when any monster effect resolves that targeted that card at activation, negate that effect."
Skill Successor,"Target 1 face-up monster you control; it gains 400 ATK until the end of this turn. During your turn, except the turn this card was sent to the Graveyard: You can banish this card from the Graveyard, then target 1 face-up monster you control; that target gains 800 ATK until the end of this turn."
Skilled Blue Magician,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves (max. 3). You can Tribute this card with 3 Spell Counters on it; Special Summon 1 ""Gaia The Fierce Knight"" monster from your hand, Deck, or Graveyard. You can banish this card from your Graveyard, then target 1 card you control that you can place a Spell Counter on; place 1 Spell Counter on it."
Skilled Dark Magician,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves (max. 3). You can Tribute this card with 3 Spell Counters on it; Special Summon 1 ""Dark Magician"" from your hand, Deck, or Graveyard."
Skilled Red Magician,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves (max. 3). You can Tribute this card with 3 Spell Counters on it; Special Summon 1 ""Archfiend"" monster from your hand, Deck, or Graveyard. You can banish this card from your Graveyard, then target 1 card you control that you can place a Spell Counter on; place 1 Spell Counter on it."
Skilled White Magician,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolves (max. 3). You can Tribute this card with 3 Spell Counters on it; Special Summon 1 ""Buster Blader"" from your hand, Deck, or Graveyard."
Skreech,If this card is destroyed by battle: Send 2 WATER monsters from your Deck to the Graveyard.
Skull Archfiend of Lightning,"During each of your Standby Phases, you must pay 500 Life Points (this is not optional), or this card is destroyed. Before resolving an opponent's card effect that targets this card, roll a six-sided die, negate the effect if you roll 1, 3 or 6, and if you do, destroy that card."
Skull Conductor,If this card is face-up on the field at the end of the Battle Phase: Destroy this face-up card. You can send this card from your hand to the Graveyard; Special Summon up to 2 Zombie-Type monsters from your hand whose combined ATK is exactly 2000.
Skull Dice,"Roll a six-sided die. All monsters your opponent currently controls lose ATK and DEF equal to the result x 100, until the End Phase."
Skull Dog Marron,A lost dog that wandered off 1000 years ago. He's still waiting for his master to come for him.
Skull Flame,"Once per turn, you can Special Summon 1 ""Burning Skull Head"" from your hand. You cannot conduct your Battle Phase the turn you activate this effect. You can add 1 ""Burning Skull Head"" from your Graveyard to your hand instead of conducting a normal draw in your Draw Phase."
Skull Guardian,"This monster can only be Ritual Summoned with the Ritual Magic Card, ""Novox's Prayer"". You must also offer monsters whose total Level Stars equal 7 or more as a Tribute from the field or your hand."
Skull Invitation,"Each time a card(s) is sent to the Graveyard, inflict 300 damage to its owner for each card sent."
Skull Knight,"""Tainted Wisdom"" + ""Ancient Brain"""
Skull Knight #2,"If you Tribute Summon a Fiend-Type monster by Tributing this monster, Special Summon 1 ""Skull Knight #2"" from your Deck. Then shuffle your Deck."
Skull Kraken,When this card is Normal Summoned: You can target 1 face-up Spell Card your opponent controls; destroy that target. Once per turn: You can change the battle position of this card.
Skull Lair,Remove from play any number of Monster Cards in your Graveyard to destroy 1 face-up monster on the field whose Level is equal to the number of the cards you removed from play.
Skull Mariner,A pirate ship that appears out of the mist and sinks any seagoing vessels.
Skull Meister,"During either player's turn, when a card effect is activated in your opponent's Graveyard, you can send this card from your hand to the Graveyard to negate the effect."
Skull Red Bird,This monster swoops down and attacks with a rain of knives stored in its wings.
Skull Servant,A skeletal ghost that isn't strong but can mean trouble in large numbers.
Skull Stalker,"Foist he's gonna grab yer monstah wit' his claws, den attack again wit' his poizin stingah!"
Skull-Mark Ladybug,"When this card is sent to the Graveyard, increase your Life Points by 1000 points."
Skullbird,"""Takuhee"" + ""Temple of Skulls"""
Sky Cavalry Centaurea,"2 Level 2 monsters
This card cannot be destroyed by battle while it has Xyz Material. At the end of the Damage Step, if this card battled an opponent's monster: You can detach 1 Xyz Material from this card; return the opponent's monster from the field to the hand."
Sky Dragon,A flying dragon with four wings housing some very dangerous blades.
Sky Dragoons of Draconia,"[ Pendulum Effect ]
Once per turn, when a Normal Monster you control inflicts battle damage to your opponent: You can target 1 card on the field; destroy it.
----------------------------------------
[ Flavor Text ]
Rumored as being formed to invade the neutral, floating Sky-State of Cxulub, these mounted air troops of the Draconia Empire have prompted bordering nations to strengthen their security."
Sky Galloping Gaia the Dragon Champion,"1 ""Gaia The Fierce Knight"" monster + 1 Dragon-Type monster
This card's name becomes ""Gaia the Dragon Champion"" while it is on the field. If this card is Special Summoned: You can add 1 ""Spiral Spear Strike"" from your Deck or Graveyard to your hand. When this card declares an attack on an opponent's monster: You can change the battle position of that opponent's monster."
Sky Iris,"Your opponent cannot target ""Magician"", ""Performapal"", or ""Odd-Eyes"" cards in your Pendulum Zones with card effects. You can target 1 other face-up card you control; destroy it, and if you do, add 1 ""Odd-Eyes"" card from your Deck to your hand. You can only use this effect of ""Sky Iris"" once per turn."
Sky Scourge Enrise,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 3 LIGHT Fairy-Type monsters and 1 DARK Fiend-Type monster in your Graveyard. Once per turn, you can remove from play 1 face-up monster on the field. If you activate this effect, this card cannot attack during this turn."
Sky Scourge Invicil,"This card cannot be Special Summoned. If you Tribute Summon this card by Tributing 1 of the following monsters, this card gets the appropriate effect:
● LIGHT Fairy-Type monster: Negate the effects of all Spell Cards.
● DARK Fiend-Type monster: Negate the effects of all Trap Cards."
Sky Scourge Norleras,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 1 LIGHT Fairy-Type monster and 3 DARK Fiend-Type monsters in your Graveyard. You can pay 1000 Life Points to send all cards on the field and in both players' hands to the Graveyard, then you draw 1 card."
Sky Scout,"With eyes like a hawk and a flying speed exceeding Mach 5, this monster is a master of the sky."
Sky Striker Ace - Hayate,"1 non-WIND ""Sky Striker Ace"" monster
This card can attack directly. After damage calculation, if this card battled: You can send 1 ""Sky Striker"" card from your Deck to the GY. You can only Special Summon ""Sky Striker Ace - Hayate(s)"" once per turn."
Sky Striker Ace - Kagari,"1 non-FIRE ""Sky Striker Ace"" monster
If this card is Special Summoned: You can target 1 ""Sky Striker"" Spell in your GY; add it to your hand. Gains 100 ATK for each Spell in your GY. You can only Special Summon ""Sky Striker Ace - Kagari(s)"" once per turn."
Sky Striker Ace - Kaina,"1 non-EARTH ""Sky Striker Ace"" monster
You can only Special Summon ""Sky Striker Ace - Kaina(s)"" once per turn. If this card is Special Summoned: You can target 1 face-up monster your opponent controls; it cannot attack until the end of your opponent's turn. Each time you activate a ""Sky Striker"" Spell Card or effect, gain 100 LP immediately after it resolves."
Sky Striker Ace - Raye,"You can Tribute this card (Quick Effect): Special Summon 1 ""Sky Striker Ace"" monster from your Extra Deck to the Extra Monster Zone. While this card is in your GY, if a face-up ""Sky Striker Ace"" Link Monster you control is destroyed by battle, or leaves the field because of an opponent's card effect: You can Special Summon this card. You can only use each effect of ""Sky Striker Ace - Raye"" once per turn."
Sky Striker Ace - Roze,"If a ""Sky Striker Ace"" monster(s) other than ""Sky Striker Ace - Roze"" is Normal or Special Summoned: You can Special Summon this card from your hand. While this card is in your GY, if an opponent's monster(s) in the Extra Monster Zone is destroyed by battle, or leaves the field because of your card effect: You can Special Summon this card, then you can negate the effects of 1 face-up monster your opponent controls until the end of this turn. You can only use each effect of ""Sky Striker Ace - Roze"" once per turn."
Sky Striker Ace - Shizuku,"1 non-WATER ""Sky Striker Ace"" monster
Monsters your opponent controls lose 100 ATK/DEF for each Spell in your GY. Once per turn, during the End Phase, if this card was Special Summoned this turn: You can add 1 ""Sky Striker"" Spell from your Deck to your hand, with a name different from the cards in your GY. You can only Special Summon ""Sky Striker Ace - Shizuku(s)"" once per turn."
Sky Striker Ace Token,"This card can be used as a ""Sky Striker Ace Token"".*If used for another Token, apply that Token s Type/Attribute/Level/ATK/DEF. "
Sky Striker Airspace - Area Zero,"You can target 1 other card you control; excavate the top 3 cards of your Deck, and if you do, you can add 1 excavated ""Sky Striker"" card to your hand, also shuffle the rest into the Deck, then, if you excavated a ""Sky Striker"" card, send the targeted card to the GY. If this card in the Field Zone is sent to the GY by a card effect: You can Special Summon 1 ""Sky Striker Ace"" monster from your Deck. You can only use each effect of ""Sky Striker Airspace - Area Zero"" once per turn."
Sky Striker Maneuver - Afterburners!,"If you control no monsters in your Main Monster Zones: Target 1 face-up monster on the field; destroy it, then, if you have 3 or more Spells in your GY, you can destroy 1 Spell/Trap on the field."
Sky Striker Maneuver - Jamming Waves!,"If you control no monsters in your Main Monster Zones: Target 1 Set Spell/Trap on the field; destroy it, then, if you have 3 or more Spells in your GY, you can destroy 1 monster on the field."
Sky Striker Maneuver - Scissors Cross,"If you control no monsters in your Main Monster Zone: Target 1 Level 4 ""Sky Striker Ace"" monster in your GY; add it to your hand, or, if you have 3 or more Spells in your GY, you can Special Summon that monster instead."
Sky Striker Maneuver - Vector Blast,"If you control no monsters in your Main Monster Zone: Each player sends the top 2 cards of their Deck to the GY (or as many as possible, if less than 2), then, if you sent at least 1 card to the GY, and have 3 or more Spells in your GY, you can shuffle all your opponent's monsters from the Extra Monster Zones into the Deck."
Sky Striker Mecha - Eagle Booster,"If you control no monsters in your Main Monster Zones: Target 1 face-up monster on the field; that target is unaffected by card effects this turn, except its own, and if you have 3 or more Spells in your GY, it cannot be destroyed by battle this turn."
Sky Striker Mecha - Hornet Drones,"If you control no monsters in your Main Monster Zones: Special Summon 1 ""Sky Striker Ace Token"" (Warrior/DARK/Level 1/ATK 0/DEF 0) in Defense Position, which cannot be Tributed, and if you have 3 or more Spells in your GY when this effect resolves, the Token's ATK/DEF become 1500 instead."
Sky Striker Mecha - Shark Cannon,"If you control no monsters in your Main Monster Zones: Target 1 monster in your opponent's GY; banish that monster, or, if you have 3 or more Spells in your GY, you can Special Summon that monster to your field instead, but it cannot attack."
Sky Striker Mecha - Widow Anchor,"If you control no monsters in your Main Monster Zones: Target 1 face-up Effect Monster on the field; negate that face-up monster's effects until the end of this turn, then, if you have 3 or more Spells in your GY, you can take control of that monster until the End Phase."
Sky Striker Mecha Modules - Multirole,"Once per turn: You can target 1 other card you control; send that card to the GY, also your opponent cannot activate cards or effects in response to your Spell Card activations for the rest of this turn (even if this card leaves the field). (You can only gain the previous effect once per turn.) Once per turn, during the End Phase: You can Set ""Sky Striker"" Spells with different names from your GY, up to the number of ""Sky Striker"" Spell Cards you activated this turn while this card was face-up on your field, but banish them when they leave the field."
Sky Striker Mecharmory - Hercules Base,"Activate this card only if you control no monsters in your Main Monster Zones. The equipped monster cannot attack directly. It can make a second attack on monsters during each Battle Phase. If the equipped monster destroys a monster by its attack while you have 3 or more Spells in your GY: Draw 1 card. If this card is sent from the field to the GY by a card effect: You can target up to 3 ""Sky Striker"" cards in your GY, except ""Sky Striker Mecharmory - Hercules Base""; shuffle them into the Deck."
Sky Striker Mobilize - Engage!,"If you control no monsters in your Main Monster Zones: Add 1 ""Sky Striker"" card from your Deck to your hand, except ""Sky Striker Mobilize - Engage!"", then, if you have 3 or more Spells in your GY, you can draw 1 card."
Skyblaster Token,"Special Summoned with ""Phantom Skyblaster""."
Skydive Scorcher,"Target 1 ""Elemental HERO"" Fusion Monster you control; destroy as many monsters your opponent controls as possible, with ATK higher than that monster's, then inflict damage to your opponent equal to the highest original ATK among those destroyed monsters in the Graveyard (your choice, if tied). If a ""Skyscraper"" Field Spell Card is in your Field Zone, inflict damage to your opponent equal to the combined original ATK of those destroyed monsters in the Graveyard, instead."
Skypalace Gangaridai,"2 Level 10 monsters
You can detach 1 Xyz Material from this card, then target 1 card your opponent controls; destroy that target, and if you do, inflict 1000 damage to your opponent. You can only use the effect of ""Skypalace Gangaridai"" once per turn. This card cannot attack the turn you activate this effect."
Skyscraper,"When an ""Elemental HERO"" monster attacks, if its ATK is lower than the ATK of the attack target, the attacking monster gains 1000 ATK during damage calculation only."
Skyscraper 2 - Hero City,"Once per turn, during your Main Phase, if you control this card: You can target 1 ""Elemental HERO"" monster in your Graveyard that was destroyed by battle; Special Summon that target."
Skystarray,"This card can attack your opponent directly. At the end of the Battle Phase, if this card attacked directly: Banish this card until your next Standby Phase."
Slacker Magician,"2 Level 1 monsters
Once per turn, this card cannot be destroyed by battle. During either player's turn, when a card or effect is activated that targets this face-up card: You can detach 1 Xyz Material from this card; negate the activation, and if you do, destroy that card."
Slash Draw,"Discard 1 card; send cards from the top of your Deck to the GY, equal to the number of cards your opponent controls, then draw 1 card and show it. Then, if it was ""Slash Draw"", send it to the GY, and if you do, destroy as many cards on the field as possible, then inflict 2000 damage to your opponent for each card destroyed and sent to the GY by this effect. If the card you drew was not ""Slash Draw"", shuffle cards from your GY into your Deck, equal to the number of cards sent from your Deck to the GY by this effect. You can only activate 1 ""Slash Draw"" per turn."
Slate Warrior,"FLIP: This card gains 500 ATK and DEF.
If this card is destroyed by battle: The monster that destroyed it loses 500 ATK and DEF."
Sleeping Lion,A ferocious animal that sleeps all day. Sometimes it's better to let Sleeping Lions lie.
Slifer the Sky Dragon,"Requires 3 Tributes to Normal Summon (cannot be Normal Set). This card's Normal Summon cannot be negated. When Normal Summoned, cards and effects cannot be activated. Once per turn, during the End Phase, if this card was Special Summoned: Send it to the Graveyard. This card gains 1000 ATK and DEF for each card in your hand. If a monster(s) is Normal or Special Summoned to your opponent's field in face-up Attack Position: That monster(s) loses 2000 ATK, then if its ATK has been reduced to 0 as a result, destroy it."
Slime Monster Token,"Special Summoned with the effect of ""Jam Breeding Machine""."
Slime Toad,"A slime with the head of a frog, it attacks by croaking terribly."
Slip of Fortune,Activate only when your opponent's monster declares an attack targeting a monster. Negate the attack and remove from play the attack target monster until the next Standby Phase.
Slip Summon,Activate only when your opponent Summons a monster. Special Summon 1 Level 4 or lower monster from your hand in face-up Defense Position. Return it to the owner's hand during the End Phase.
Slot Machine,The machine's ability is said to vary according to its slot results.
Slushy,"When this card is Normal Summoned: You can send 1 ""Slushy"" from your Deck to the Graveyard. If you have 3 copies of ""Slushy"" total, either banished and/or in your Graveyard (combined): You can banish this card from your Graveyard to target 1 Level 5 or higher Sea Serpent-Type monster in your Graveyard; Special Summon that target. You can only use the Special Summoning effect of ""Slushy"" once per turn."
Small Piece Golem,"When this card is Summoned, if you control a ""Big Piece Golem"", you can Special Summon 1 ""Medium Piece Golem"" from your Deck. That monster's effect is negated while it is face-up on the field."
Smashing Ground,"Destroy the 1 face-up monster your opponent controls that has the highest DEF (your choice, if tied)."
Smashing Horn,When a monster effect or Trap Card is activated that negates the Normal or Special Summon of a monster(s): Negate the activation and destroy it.
Smile Action,"When this card is activated: Each player can banish up to 5 Spells from their GY, face-down. When a monster declares an attack: Activate this effect; the attacked player can apply this effect.
● Randomly add 1 of your cards banished by this card's effect to your hand, then you can discard it, and if you do, negate the attack. If you did not discard it, any battle damage you take this turn is doubled."
Smile Potion,"If you control no monsters and your opponent controls a monster(s) whose current ATK is higher than its original ATK: Draw 2 cards. You can only activate 1 ""Smile Potion"" per turn."
Smile Universe,"Special Summon as many face-up Pendulum Monsters from your Extra Deck as possible, but they have their effects negated (if any), then your opponent gains LP equal to the total original ATK of those Special Summoned monsters. You cannot Normal or Special Summon other monsters, or attack, during the turn you activate this card."
Smile World,"All face-up monsters currently on the field gain 100 ATK for each monster currently on the field, until the end of this turn."
Smoke Grenade of the Thief,"When this Equip Spell Card is active and is destroyed by a card effect, look at your opponent's hand. Select 1 card from their hand and discard it to the Graveyard."
Smoke Mosquito,"During damage calculation, if you would take battle damage from an opponent's monster's attack: You can Special Summon this card from your hand, and if you do, the damage you take from that battle is halved, also end the Battle Phase after the Damage Step. You can target 1 face-up monster you control; this card's Level becomes the same as that monster's, until the end of this turn. You can only use each effect of ""Smoke Mosquito"" once per turn."
Snake Deity's Command,"Activate by showing your opponent 1 ""Venom"" monster in your hand. Negate the activation and effect of an opponent's Spell Card, and destroy it."
Snake Fang,Decrease 1 selected monster's DEF by 500 points during the turn this card is activated.
Snake Rain,Discard 1 card. Select 4 Reptile-Type monsters from your Deck and send them to the Graveyard.
Snake Whistle,Activate only when a Reptile-Type monster you control is destroyed. Special Summon 1 Level 4 or lower Reptile-Type monster from your Deck.
Snakeyashi,This monster is formed by several serpents that break off to individually attack nearby enemies.
Snapdragon,"When this card is sent to the Graveyard: Banish 1 random card from your opponent's hand, until the End Phase. You can only use the effect of ""Snapdragon"" once per turn."
Snatch Steal,Equip only to a monster your opponent controls. Take control of the equipped monster. During each of your opponent's Standby Phases: They gain 1000 Life Points.
Sniffer Dragon,"If this card is Normal or Special Summoned: You can add 1 ""Sniffer Dragon"" from your Deck to your hand. You can only use this effect of ""Sniffer Dragon"" once per turn."
Snipe Hunter,"You can discard 1 card, then target 1 card on the field; roll a six-sided die, and destroy that target unless you roll a 1 or 6."
Snow Dragon,When this card is destroyed by battle or by a card effect and sent to the Graveyard: Place 1 Ice Counter on each face-up monster on the field.
Snow Plow Hustle Rustle,"When your opponent's monster declares a direct attack, while you control a card(s) in your Spell & Trap Zone: You can Special Summon this card from your hand, then destroy as many cards in your Spell & Trap Zone as possible, and if you do, inflict 200 damage to your opponent for each destroyed card. You cannot Special Summon any monsters, except Machine-Type monsters."
Snowdust Dragon,You can Special Summon this card (from your hand) by removing 4 Ice Counters from anywhere on the field. Other monsters with Ice Counters cannot attack or change their battle positions.
Snowdust Giant,"2 Level 4 WATER monsters
Once per turn: You can detach 1 Xyz Material from this card; reveal any number of WATER monsters from your hand, and place that many Ice Counters on face-up monsters on the field. Non-WATER monsters on the field lose 200 ATK for each Ice Counter on the field."
Snowman Creator,"When this card is Summoned: You can create a number of Ice Counters equal to the number of WATER monsters you control, place them on a face-up monster(s) your opponent controls, then, if you placed 3 or more Ice Counters by this effect, you can destroy 1 card your opponent controls."
Snowman Eater,When this card is flipped face-up: Target 1 face-up monster on the field; destroy that target.
Snowman Effect,"Target 1 face-up monster you control; it gains ATK equal to the total original ATK of all other monsters you currently control, until the end of this turn. It cannot attack directly during the turn you activate this card. You can only activate 1 ""Snowman Effect"" per turn."
"Snoww, Unlight of Dark World","If this card is discarded to the Graveyard by a card effect: If it was discarded from your hand to your Graveyard by an opponent's card effect, you can target 1 monster in your opponent's Graveyard; add 1 ""Dark World"" card from your Deck to your hand, then Special Summon that target (if any) in face-up Defense Position."
Snyffus,"Once per turn, you can Tribute 1 Plant-Type monster to select and destroy 1 face-up card your opponent controls. When a Plant-Type monster(s) on the field is destroyed while this card is in the Graveyard, you can Special Summon this card from the Graveyard. If you do, remove this card from play when it is removed from the field."
Soaring Eagle Above the Searing Land,"If this card is sent to the Graveyard for a Synchro Summon: You can Special Summon this card. You must have 3 or more ""Laval"" monsters with different names in your Graveyard to activate and to resolve this effect. If this card is Special Summoned with this effect, banish it when it leaves the field."
Sogen,Increases the ATK and DEF of all Beast-Warrior and Warrior-Type monsters by 200 points.
Soitsu,"Apparently totally unreliable, he wonders if he has incredible potential."
Solar Flare Dragon,"While you control another Pyro-Type monster, this card cannot be attacked. During each of your End Phases: Inflict 500 damage to your opponent."
Solar Ray,Inflict 600 points of damage to your opponent's Life Points for each face-up LIGHT monster on your side of the field.
Solar Recharge,"Discard 1 ""Lightsworn"" monster; draw 2 cards, then send the top 2 cards of your Deck to the GY."
Solar Wind Jammer,"If you control no monsters, you can Special Summon this card (from your hand), but its original ATK and DEF become halved. During each of your Standby Phases: Increase the Level of this card by 1. There can only be 1 ""Solar Wind Jammer"" on the field."
Soldier Dragons,"Once per turn, when your opponent activates a card or effect (Quick Effect): You can Special Summon 1 Level 2 or lower Dragon monster from your Deck."
Solemn Authority,"Activate this card by targeting 1 ""Aesir"" monster you control; it cannot be targeted by other card effects while this card is on the field. Send this card to the Graveyard during your 2nd Standby Phase after activation."
Solemn Judgment,"When a monster would be Summoned, OR a Spell/Trap Card is activated: Pay half your Life Points; negate the Summon or activation, and if you do, destroy that card."
Solemn Scolding,"If this is the only Set card in your Spell & Trap Zone, when a monster would be Summoned, OR a Spell Card, Trap Card, or monster effect is activated: Pay 3000 LP; negate the Summon or activation, and if you do, destroy that card."
Solemn Strike,"When a monster(s) would be Special Summoned, or a monster effect is activated: Pay 1500 LP; negate the Summon or activation, and if you do, destroy that card."
Solemn Warning,"When a monster(s) would be Summoned, OR when a Spell/Trap Card, or monster effect, is activated that includes an effect that Special Summons a monster(s): Pay 2000 LP; negate the Summon or activation, and if you do, destroy that card."
Solemn Wishes,Increase your Life Points by 500 points each time you draw a card (or cards).
Solidarity,"If you have only 1 original Type of monster in your Graveyard, all monsters you control with the same Type gain 800 ATK."
Solitaire Magician,"Once per turn, you can select 1 face-up ""Fortune Lady"" monster you control and 1 other face-up monster on the field. Reduce the Level of the selected ""Fortune Lady"" monster by 3, and destroy the other selected monster."
Solitary Sword of Poison,"Equip only to a monster you control. If the equipped monster battles an opponent's monster, double its original ATK/DEF during that damage calculation only. If you control a monster other than the equipped monster, send this card to the GY. You can only control 1 ""Solitary Sword of Poison""."
Solitude,This beast-warrior swings a massive scythe that feeds on the souls of the slain.
Solo the Melodious Songstress,"If your opponent controls a monster and you control no monsters, you can Special Summon this card (from your hand). When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 ""Melodious"" monster from your Deck, except ""Solo the Melodious Songstress""."
Solomon's Lawbook,Skip your next Standby Phase.
Some Summer Summoner,"2 Thunder monsters
Once per opponent's turn (Quick Effect): You can discard 1 card, then target 1 Thunder monster in your GY, except a Link Monster; Special Summon it to your zone this card points to."
Sonata the Melodious Diva,"If you control a ""Melodious"" monster, you can Special Summon this card (from your hand). While this Special Summoned card is on the field, all Fairy-Type monsters you control gain 500 ATK and DEF."
Sonic Bird,"When this card is Normal or Flip Summoned, you can add 1 Ritual Spell Card from your Deck to your hand."
Sonic Boom,"During your turn: Target 1 ""Mecha Phantom Beast"" monster on the field; this turn, its ATK becomes double its original ATK, it is unaffected by other Spell/Trap effects, also if it attacks a Defense Position monster, inflict piercing battle damage to your opponent. If this effect is applied to that monster, destroy all Machine-Type monsters you control during the End Phase of this turn. Other monsters cannot attack during the turn you activate this card."
Sonic Chick,Cannot be destroyed by battle with a monster that has 1900 or more ATK.
Sonic Duck,"A duck which can walk at a sonic speed. Sometimes, he cannot deal with his incredible pace and loses control."
Sonic Jammer,FLIP: Your opponent cannot activate any Spell Cards until the end of the End Phase of the next turn.
Sonic Maid,"A maiden that uses sound to her advantage, she wields a scythe that's shaped like a musical note."
Sonic Shooter,"If there are no cards in your opponent's Spell & Trap Card Zones, this card can attack your opponent's Life Points directly. When it does, any Battle Damage this card inflicts to your opponent's Life Points becomes the original ATK of this card."
Sonic Stun,"When an opponent's monster declares an attack: Negate that attack, then you can Special Summon 1 ""T.G."" monster or 1 Level 4 or lower Tuner from your hand or Deck."
Sonic Warrior,If this card is sent to the Graveyard: All Level 2 or lower monsters you currently control gain 500 ATK.
"Sophia, Goddess of Rebirth","Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 1 face-up Ritual, Fusion, Synchro, and Xyz Monster from anywhere on the field, and cannot be Special Summoned by other ways. This card's Special Summon cannot be negated. When this card is Special Summoned: Banish all other cards from both players' hands, fields, and Graveyards. Cards and effects cannot be activated in response to this effect's activation."
Soprano the Melodious Songstress,"When this card is Special Summoned: You can target 1 ""Melodious"" monster in your Graveyard, except ""Soprano the Melodious Songstress""; add it to your hand. You can only use this effect of ""Soprano the Melodious Songstress"" once per turn. Once per turn: You can Fusion Summon 1 ""Melodious"" Fusion Monster from your Extra Deck, using monsters you control as Fusion Materials, including this card."
Sorcerer of Dark Magic,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 2 Level 6 or higher Spellcaster-Type monsters, and cannot be Special Summoned by other ways. During either player's turn, when a Trap Card is activated: You can negate the activation, and if you do, destroy it. This card must be face-up on the field to activate and to resolve this effect."
Sorcerer of the Doomed,"A slave of the dark arts, this sorcerer is a master of life-extinguishing spells."
Sorcerous Spell Wall,All monsters you control gain 300 ATK during your turn only. All monsters you control gain 300 DEF during your opponent's turn only.
Sorciere de Fleur,"When this card is Normal or Special Summoned, select 1 monster in your opponent's Graveyard. Special Summon that monster to your side of the field. It cannot attack your opponent directly, and is destroyed during the End Phase of this turn. The effect of ""Sorciere de Fleur"" can only be activated once per turn."
Soul Absorption,If a card(s) is banished: Gain 500 LP for each.
Soul Charge,"Target any number of monsters in your GY; Special Summon them, and if you do, you lose 1000 LP for each monster Special Summoned by this effect. You cannot conduct your Battle Phase the turn you activate this card. You can only activate 1 ""Soul Charge"" per turn."
Soul Demolition,You can only activate this card's effect when you have a Fiend-Type monster on your side of the field. Pay 500 Life Points to use this effect. Both players select 1 Monster Card from their opponent's Graveyard. Remove the selected cards from play.
Soul Devouring Bamboo Sword,"Select 1 monster equipped with a ""Bamboo Sword"" Equip Spell Card. If it inflicts Battle Damage to your opponent while equipped with a ""Bamboo Sword"" card, they skip their next Draw Phase. Destroy this card during your second Standby Phase after activation."
Soul Drain,"Activate by paying 1000 Life Points. Monsters that are banished, as well as monsters in the Graveyard, cannot activate their effects (that start a Chain)."
